N = 4, M = 1, max_bits = 4, current_stored = 15, max_stored = 15
N = 4, M = 2, max_bits = 5, current_stored = 30, max_stored = 31
N = 4, M = 3, max_bits = 6, current_stored = 45, max_stored = 63
N = 4, M = 4, max_bits = 6, current_stored = 60, max_stored = 63
N = 4, M = 5, max_bits = 7, current_stored = 75, max_stored = 127
N = 4, M = 6, max_bits = 7, current_stored = 90, max_stored = 127
N = 4, M = 7, max_bits = 7, current_stored = 105, max_stored = 127
N = 4, M = 8, max_bits = 7, current_stored = 120, max_stored = 127
N = 4, M = 9, max_bits = 8, current_stored = 135, max_stored = 255
N = 4, M = 10, max_bits = 8, current_stored = 150, max_stored = 255
N = 4, M = 11, max_bits = 8, current_stored = 165, max_stored = 255
N = 4, M = 12, max_bits = 8, current_stored = 180, max_stored = 255
N = 4, M = 13, max_bits = 8, current_stored = 195, max_stored = 255
N = 4, M = 14, max_bits = 8, current_stored = 210, max_stored = 255
N = 4, M = 15, max_bits = 8, current_stored = 225, max_stored = 255
N = 4, M = 16, max_bits = 8, current_stored = 240, max_stored = 255
N = 4, M = 17, max_bits = 8, current_stored = 255, max_stored = 255
N = 4, M = 18, max_bits = 9, current_stored = 270, max_stored = 511
N = 4, M = 19, max_bits = 9, current_stored = 285, max_stored = 511
N = 4, M = 20, max_bits = 9, current_stored = 300, max_stored = 511
N = 4, M = 21, max_bits = 9, current_stored = 315, max_stored = 511
N = 4, M = 22, max_bits = 9, current_stored = 330, max_stored = 511
N = 4, M = 23, max_bits = 9, current_stored = 345, max_stored = 511
N = 4, M = 24, max_bits = 9, current_stored = 360, max_stored = 511
N = 4, M = 25, max_bits = 9, current_stored = 375, max_stored = 511
N = 4, M = 26, max_bits = 9, current_stored = 390, max_stored = 511
N = 4, M = 27, max_bits = 9, current_stored = 405, max_stored = 511
N = 4, M = 28, max_bits = 9, current_stored = 420, max_stored = 511
N = 4, M = 29, max_bits = 9, current_stored = 435, max_stored = 511
N = 4, M = 30, max_bits = 9, current_stored = 450, max_stored = 511
N = 4, M = 31, max_bits = 9, current_stored = 465, max_stored = 511
N = 4, M = 32, max_bits = 9, current_stored = 480, max_stored = 511
N = 4, M = 33, max_bits = 9, current_stored = 495, max_stored = 511
N = 4, M = 34, max_bits = 9, current_stored = 510, max_stored = 511
N = 4, M = 35, max_bits = 10, current_stored = 525, max_stored = 1023
N = 4, M = 36, max_bits = 10, current_stored = 540, max_stored = 1023
